Palicourea guianensis,1.0229,851,0.10973,-0.0070865,S
Pentagonia macrophylla,0.53661,300,-0.233,-0.011429,U
Perebea xanthochyma,1.0649,233,-0.059155,-0.014661,M
Picramnia latifolia,0.54764,1059,-0.045881,0.0045347,U
Piper cordulatum,1.0487,50,-1.8701,-0.26951,S
Piper reticulatum,0.67299,131,-0.11318,0.027366,U
Platymiscium pinnatum,0.7729,146,-0.068643,-0.0059089,T
Platypodium elegans,0.73966,122,-0.12047,-0.0035453,T
Poulsenia armata,0.68824,1162,-0.36277,-0.081852,T
Pouteria reticulata,0.34523,1204,-0.15465,-0.065502,T
Prioria copaifera,0.81119,1348,-0.017986,-0.010189,T
Protium costaricense,0.46258,698,-0.093161,-0.036958,M
Protium panamense,0.4988,2853,-0.0022774,-0.0070962,M
Protium tenuifolium,0.57166,2829,-0.0019911,-0.0033643,M
Psychotria horizontalis,0.67805,3119,-0.3144,-0.10115,S
Psychotria marginata,0.8461,581,-0.072148,0.021451,S
Pterocarpus rohrii,0.39344,1380,-0.071241,-0.025365,T
Quararibea asterolepis,0.4819,2137,-0.046772,-0.013013,T
Quassia amara,0.91344,119,-0.11197,-0.045027,U
Randia armata,0.36705,958,-0.081216,-0.019935,U
Rinorea sylvatica,1.045,2277,-0.061104,-0.007188,S
Senna dariensis,1.1098,135,-0.0032051,0.31079,S
Simarouba amara,0.53982,1477,0.073166,0.079475,T
Siparuna pauciflora,0.60221,367,0.015663,0.064979,U
Sloanea terniflora,0.48244,461,-0.11082,-0.029146,T
Socratea exorrhiza,0.94901,540,-0.13507,-0.061397,M
Sorocea affinis,0.38903,2539,-0.12297,-0.04789,S
Spondias radlkoferi,1.2127,265,0.1827,0.0082725,T
Stylogyne turbacensis,0.40823,691,-0.028578,0.0076083,*
Swartzia simplex,0.34937,5710,0.036311,0.01203,U
Symphonia globulifera,0.94709,152,-0.071009,-0.022276,T
Tabebuia rosea,0.61584,230,-0.10956,-0.027438,T
Tabernaemontana arborea,0.4246,1593,0.076084,0.024103,T
Tachigali versicolor,0.51173,2234,-0.12484,-0.046243,T
Talisia nervosa,0.93121,722,-0.053153,-0.014783,U
Talisia princeps,0.45786,664,0.017347,0.021451,M
Tetragastris panamensis,0.46957,4493,0.081061,0.026196,T
Trichilia pallida,0.5128,478,-0.077968,-0.033222,M
Trichilia tuberculata,0.47944,11344,-0.06482,-0.023799,T
Triplaris cumingiana,0.67672,242,-0.15526,-0.027804,M
Trophis caucana,0.90447,149,-0.39969,-0.069852,U
Trophis racemosa,0.51687,253,-0.10876,-0.051724,M
Unonopsis pittieri,0.53173,621,-0.10233,-0.024474,M
Virola sebifera,0.41939,1394,-0.21234,-0.063372,M
Virola surinamensis,0.60655,183,-0.16079,-0.040745,T
Xylopia macrantha,0.79481,1414,0.18761,0.064446,M
Xylosma oligandra,0.97814,67,-0.39664,-0.15165,S
Zanthoxylum acuminatum,0.92224,93,-0.35785,-0.095975,T
Zanthoxylum ekmanii,1.1028,194,-0.1084,-0.081414,T
Zanthoxylum panamense,1.1866,178,-0.1334,0.095084,T
